Primer,SequenceID,Raw_Match(%),Alignment_Length,Mismatches,Gaps,Primer_Start,Primer_End,Seq_Start,Seq_End,Expect,Score,Primer_Length,Primer_Length/Alignment_length_dif,ID,Length_Para,Match(%),Total_Mis
InfA_MP_M52c,252233849,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233849,0,1.0,0
InfA_MP_M52c,252233848,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233848,0,1.0,0
InfA_MP_M52c,252233846,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233846,0,1.0,0
InfA_MP_M52c,252233842,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233842,0,1.0,0
InfA_MP_M52c,252233841,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233841,0,1.0,0
InfA_MP_M52c,252233840,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233840,0,1.0,0
InfA_MP_M52c,252233839,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233839,0,1.0,0
InfA_MP_M52c,252233837,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233837,0,1.0,0
InfA_MP_M52c,252233833,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233833,0,1.0,0
InfA_MP_M52c,252233820,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233820,0,1.0,0
InfA_MP_M52c,252233818,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233818,0,1.0,0
InfA_MP_M52c,252233813,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233813,0,1.0,0
InfA_MP_M52c,252233808,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233808,0,1.0,0
InfA_MP_M52c,252233760,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233760,0,1.0,0
InfA_MP_M52c,252233759,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233759,0,1.0,0
InfA_MP_M52c,252233751,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233751,0,1.0,0
InfA_MP_M52c,252233750,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233750,0,1.0,0
InfA_MP_M52c,252233746,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233746,0,1.0,0
InfA_MP_M52c,252233745,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233745,0,1.0,0
InfA_MP_M52c,252233744,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233744,0,1.0,0
InfA_MP_M52c,252233724,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233724,0,1.0,0
InfA_MP_M52c,252233723,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233723,0,1.0,0
InfA_MP_M52c,252233722,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233722,0,1.0,0
InfA_MP_M52c,252233692,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233692,0,1.0,0
InfA_MP_M52c,252233681,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233681,0,1.0,0
InfA_MP_M52c,252233662,100.0,21,0,0,1,21,7,27,6.85e-06,34.7,21,0,InfA_MP_M52c_252233662,0,1.0,0
